epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1030.26,1.317,2.15209,1.5669,0.76677,0.72491,0.76548,0.46926,1.2918,1.2009,1.54521,0.00333226,0.00333226,0.00333226
2,1873.44,1.3012,1.47219,1.53008,0.77494,0.69556,0.77408,0.50399,1.19023,1.15201,1.46431,0.0066524,0.0066524,0.0066524
3,2640.83,1.35314,1.46146,1.58396,0.76514,0.74193,0.7918,0.51072,1.20265,1.09538,1.4679,0.00995934,0.00995934,0.00995934
4,3404.14,1.33896,1.42643,1.58345,0.85628,0.78483,0.84446,0.55867,1.14941,0.89327,1.43387,0.0099406,0.0099406,0.0099406
5,4168.22,1.26685,1.27858,1.52597,0.84957,0.80586,0.86314,0.57751,1.10896,0.82667,1.40196,0.0099208,0.0099208,0.0099208
6,4932.58,1.22638,1.18493,1.49069,0.86167,0.83468,0.8807,0.60588,1.05221,0.74393,1.35161,0.009901,0.009901,0.009901
7,5697.1,1.19842,1.12825,1.46974,0.88275,0.85098,0.8902,0.62392,0.99024,0.67585,1.31529,0.0098812,0.0098812,0.0098812
8,6458.77,1.17199,1.07005,1.44619,0.88066,0.86282,0.90513,0.64873,0.95977,0.66245,1.28733,0.0098614,0.0098614,0.0098614
9,7220.22,1.15735,1.03502,1.43152,0.90691,0.83742,0.90815,0.63309,0.97748,0.63421,1.28641,0.0098416,0.0098416,0.0098416
10,7982.68,1.14062,1.0059,1.41479,0.86616,0.87916,0.90449,0.65034,0.94382,0.61154,1.25426,0.0098218,0.0098218,0.0098218
11,8744.71,1.12241,0.97248,1.39818,0.8944,0.86699,0.91457,0.66461,0.92686,0.57425,1.24138,0.009802,0.009802,0.009802
12,9509.26,1.11431,0.95909,1.39406,0.90998,0.87136,0.91676,0.66314,0.93286,0.572,1.23528,0.0097822,0.0097822,0.0097822
13,10273.2,1.10551,0.93385,1.38499,0.90931,0.86418,0.92164,0.66971,0.92785,0.5561,1.23928,0.0097624,0.0097624,0.0097624
14,11022.2,1.09291,0.92025,1.375,0.90039,0.88335,0.92534,0.67934,0.91024,0.55546,1.22599,0.0097426,0.0097426,0.0097426
15,11769.1,1.08575,0.90289,1.36581,0.89786,0.88732,0.92764,0.68511,0.89748,0.54872,1.21045,0.0097228,0.0097228,0.0097228
16,12515.9,1.08274,0.89145,1.36096,0.89519,0.89202,0.92937,0.68705,0.88504,0.53455,1.20288,0.009703,0.009703,0.009703
17,13258.8,1.07522,0.88175,1.35589,0.90619,0.89073,0.92944,0.69016,0.88193,0.52893,1.20163,0.0096832,0.0096832,0.0096832
18,14002.6,1.07231,0.87232,1.35003,0.90704,0.88933,0.92845,0.68867,0.8811,0.52506,1.1939,0.0096634,0.0096634,0.0096634
19,14746.7,1.06541,0.86089,1.34678,0.90763,0.8828,0.92678,0.68893,0.88217,0.52464,1.19266,0.0096436,0.0096436,0.0096436
20,15491.1,1.05934,0.8491,1.3422,0.90257,0.89097,0.92575,0.69111,0.87901,0.5184,1.19241,0.0096238,0.0096238,0.0096238
21,16236.1,1.05543,0.84261,1.3397,0.8937,0.89327,0.92586,0.69231,0.87928,0.51747,1.19135,0.009604,0.009604,0.009604
22,16980.4,1.04791,0.83645,1.33344,0.90332,0.89097,0.92615,0.69769,0.87415,0.51369,1.18752,0.0095842,0.0095842,0.0095842
23,17722,1.04676,0.81836,1.32966,0.90024,0.89171,0.92764,0.69841,0.87263,0.50989,1.18616,0.0095644,0.0095644,0.0095644
24,18467.6,1.04086,0.81684,1.32615,0.91084,0.88684,0.92895,0.69815,0.87356,0.50977,1.18689,0.0095446,0.0095446,0.0095446
25,19210.1,1.0372,0.81317,1.32648,0.91467,0.89342,0.92887,0.69785,0.87367,0.50902,1.18733,0.0095248,0.0095248,0.0095248
26,19955.8,1.03657,0.8076,1.32104,0.91095,0.89363,0.92784,0.69685,0.87229,0.50726,1.18662,0.009505,0.009505,0.009505
27,20699,1.03566,0.8078,1.31838,0.91235,0.89632,0.9277,0.69663,0.86882,0.50627,1.18481,0.0094852,0.0094852,0.0094852
28,21443.6,1.03069,0.79467,1.3148,0.91106,0.90131,0.92843,0.69995,0.86613,0.50198,1.18227,0.0094654,0.0094654,0.0094654
29,22186.2,1.02547,0.79705,1.31457,0.91204,0.89572,0.92968,0.70199,0.86334,0.49729,1.18122,0.0094456,0.0094456,0.0094456
30,22930,1.01893,0.79301,1.31041,0.91175,0.89632,0.93002,0.70244,0.86139,0.49607,1.17923,0.0094258,0.0094258,0.0094258
31,23672.8,1.02569,0.7921,1.31306,0.9098,0.89894,0.92846,0.70307,0.86093,0.49229,1.17903,0.009406,0.009406,0.009406
32,24428.2,1.01591,0.77594,1.30518,0.90958,0.90264,0.93518,0.70616,0.85848,0.48869,1.17763,0.0093862,0.0093862,0.0093862
33,25186.2,1.01379,0.77473,1.30291,0.89797,0.90342,0.92868,0.7057,0.85675,0.4891,1.17769,0.0093664,0.0093664,0.0093664
34,25938.3,1.01279,0.77322,1.30269,0.89743,0.90628,0.93099,0.70574,0.8544,0.48702,1.17621,0.0093466,0.0093466,0.0093466
35,26689.1,1.01072,0.76685,1.30116,0.90043,0.90625,0.93017,0.70667,0.85092,0.48493,1.17341,0.0093268,0.0093268,0.0093268
